Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,2008,Female,Age_all,[All],4.00000000,0.05617978,0.21723191,0.27125062,
EU,Europe,ALB,Albania,2009,Male,Age_all,[All],2.00000000,0.02346041,0.12346393,0.13665505,
EU,Europe,ALB,Albania,2009,All,Age_all,[All],3.00000000,0.01915464,0.08543090,0.10247575,
EU,Europe,ALB,Albania,2010,All,Age_all,[All],4.00000000,0.03295164,0.11152385,0.13731412,
EU,Europe,ALB,Albania,2010,Male,Age_all,[All],2.00000000,0.03052969,0.12135558,0.13720564,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],9.00000000,1.78926441,33.88464011,16.07142857,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],2.00000000,0.34843206,3.13815188,3.27868852,
EU,Europe,ALB,Albania,2008,Male,Age_all,[All],6.00000000,0.06649673,0.43319403,0.40742353,
EU,Europe,ALB,Albania,2009,Female,Age_all,[All],1.00000000,0.01401149,0.05113861,0.06830680,
EU,Europe,ALB,Albania,2010,Female,Age_all,[All],2.00000000,0.03579098,0.09301297,0.13742276,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],7.00000000,1.72839506,39.88224720,12.06896552,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age_all,[All],4.00000000,2.25988701,48.52778802,14.76014760,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],4.00000000,0.81300813,8.16205008,6.66666667,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age_all,[All],3.00000000,1.08695652,12.12295356,10.03344482,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Female,Age_all,[All],2.00000000,0.76335878,8.06142857,6.25000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Male,Age_all,[All],4.00000000,2.00000000,22.36253444,13.05270028,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,Female,Age_all,[All],1.00000000,0.47393365,5.16995241,2.98160351,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age_all,[All],2.00000000,0.86956522,8.70007326,7.14285714,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age_all,[All],3.00000000,1.31578947,33.00574424,9.70873786,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age_all,[All],4.00000000,0.97560976,11.59628264,6.34920635,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age_all,[All],2.00000000,0.97560976,24.02824176,7.14285714,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age_all,[All],2.00000000,0.76045627,8.32007532,6.25000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,All,Age_all,[All],3.00000000,0.72463768,5.99508262,4.66149758,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age_all,[All],2.00000000,0.77821012,6.60778051,7.01754386,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],4.00000000,0.85470085,14.60436608,6.66666667,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,All,Age_all,[All],2.00000000,0.43956044,3.89683852,3.11851933,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,All,Age_all,[All],5.00000000,1.00806452,10.56485931,7.92141952,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Male,Age_all,[All],1.00000000,0.55865922,4.12749446,3.25086961,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1971,Female,Age_all,[All],2.00000000,0.85106383,7.84640542,5.95362129,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Male,Age_all,[All],4.00000000,2.13903743,40.75714286,13.60544218,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1970,All,Age_all,[All],5.00000000,1.21654501,12.92788113,7.79095315,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Male,Age_all,[All],2.00000000,1.09289617,8.21758575,6.51954233,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,All,Age_all,[All],3.00000000,0.79575597,7.31859999,4.71327573,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Male,Age_all,[All],2.00000000,1.16279070,11.95168022,6.56685054,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1973,Female,Age_all,[All],1.00000000,0.48780488,4.60909091,3.01268340,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Male,Age_all,[All],4.00000000,1.79372197,18.71870634,13.23977228,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age_all,[All],1.00000000,0.36630037,4.27287192,3.03988327,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1976,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,All,Age_all,[All],2.00000000,0.43196544,3.22302169,3.19106502,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1975,Female,Age_all,[All],2.00000000,0.90909091,6.12174117,6.12332374,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,All,Age_all,[All],4.00000000,0.80645161,9.37365935,6.43510996,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Female,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
